Country,FormalCoun,CountrySor,AfricaRegi,GID_0,NAME_0,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,ISO_A3,CONTINENT,rur20pop_c,rur20pop_s,rur20pop_m,adu20pop_c,adu20pop_s,adu20pop_m,all20pop_c,all20pop_s,all20pop_m,AREA,dens20pop,rurdense,has_age_da
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.2_1,Badghis,,AFG.2.1_1,Ab Kamari,,,Wuleswali,District,,AF.BG.AK,AFG,Asia,1943,23446.24750804901,12.06703422956717,1943,23446.24750804901,12.06703422956717,1943,44153.51568317413,22.724403336682517,1367011174.310609,0.0000322993085301157,0.000017151467338862886,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.2_1,Badghis,,AFG.2.2_1,Ghormach,,,Wuleswali,District,,AF.BG.GH,AFG,Asia,2536,33566.380452513695,13.235954437111078,2536,33566.380452513695,13.235954437111078,2536,62608.765166044235,24.687998882509557,1769156844.3928833,0.00003538904160163906,0.000018973094759177545,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.2_1,Badghis,,AFG.2.3_1,Jawand,,,Wuleswali,District,,AF.BG.JA,AFG,Asia,11256,70134.0795108825,6.230817298408182,11256,70134.0795108825,6.230817298408182,11256,132012.50106230378,11.728189504469064,7942810586.373307,0.000016620376329857915,0.00000882988190996328,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.2_1,Badghis,,AFG.2.4_1,Muqur,,,Wuleswali,District,,AF.BG.MQ,AFG,Asia,803,6313.7121295928955,7.862655204972473,803,6313.7121295928955,7.862655204972473,803,11891.279995441437,14.808567864808763,565232964.495503,0.00002103783880696867,0.000011170106002625273,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.2_1,Badghis,,AFG.2.5_1,Murghab,,,Wuleswali,District,,AF.BG.MR,AFG,Asia,6731,84655.10834121704,12.57689917415199,6732,84664.66310596466,12.576450253411268,6732,159270.7647292614,23.658758872439304,4718738268.630824,0.00003375282875680133,0.000017940200011512894,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.2_1,Badghis,,AFG.2.6_1,Qadis,,,Wuleswali,District,,AF.BG.QD,AFG,Asia,4549,69517.2585145235,15.281877009128051,4549,69517.2585145235,15.281877009128051,4549,130929.1875846386,28.781971330982326,3208809080.769926,0.000040803046952616846,0.000021664504420388713,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.2_1,Badghis,,AFG.2.7_1,Qala-I-Naw,,,Wuleswali,District,,AF.BG.QN,AFG,Asia,1505,41787.789774894714,27.765973272355293,1505,46192.0298871994,30.692378662590965,1505,86998.32266235352,57.806194460035556,1065076709.70434,0.00008168268244876354,0.00003923453531013254,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.1_1,Andarab,,,Wuleswali,District,,AF.BL.AN,AFG,Asia,3189,58622.555572509766,18.38273928269356,3189,58622.555572509766,18.38273928269356,3189,112891.293145895,35.40021735525087,2235962183.9894447,0.00005048890985467039,0.00002621804429085394,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.2_1,Baghlan City,,,Wuleswali,District,,AF.BL.BA,AFG,Asia,1134,55784.66242480278,49.192824007762596,1134,56355.57270312309,49.69627222497627,1134,108521.0625424385,95.6975860162597,787554268.3332031,0.00013779502810912933,0.00007083278533029431,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.3_1,Baghlani Jadid,,,Wuleswali,District,,AF.BL.BJ,AFG,Asia,2335,56194.501121520996,24.066167503863383,2335,56194.501121520996,24.066167503863383,2335,108069.3468785286,46.282375536843084,1616787324.2685554,0.00006684203002854432,0.00003475689119899782,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.4_1,Burka,,,Wuleswali,District,,AF.BL.BU,AFG,Asia,1161,37846.48579001427,32.598178975033825,1161,37846.48579001427,32.598178975033825,1161,72893.84267902374,62.78539421104543,806029536.6352242,0.00009043569666605468,0.00004695421702287075,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.5_1,Dahana-I-Ghori,,,Wuleswali,District,,AF.BL.DG,AFG,Asia,1951,38003.22034561634,19.47884179683052,1951,38003.22034561634,19.47884179683052,1951,72984.17361521721,37.40859744501138,1356839621.2835279,0.000053789830773202554,0.000028008631049310368,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.6_1,Doshi,,,Wuleswali,District,,AF.BL.DO,AFG,Asia,2500,47877.97341859341,19.15118936743736,2499,47863.63088166714,19.153113598106096,2499,92187.26521062851,36.889661949031016,1744008446.8107705,0.000052859414402039915,0.000027452833445931292,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.7_1,Kahmard,,,Wuleswali,District,,AF.BL.KA,AFG,Asia,5053,53307.3335840106,10.549640527213656,5053,53307.3335840106,10.549640527213656,5053,102941.669508636,20.372386603727687,3555486720.271665,0.000028952905075333964,0.000014992977833408286,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.8_1,Khinjan,,,Wuleswali,District,,AF.BL.KH,AFG,Asia,1750,26629.942537903786,15.217110021659305,1750,26629.942537903786,15.217110021659305,1750,51226.90534949303,29.272517342567443,1227025237.6429515,0.00004174886039662649,0.000021702848255231044,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.9_1,Khost Wa Firing,,,Wuleswali,District,,AF.BL.KF,AFG,Asia,3675,65332.470209121704,17.777542914046723,3675,65332.470209121704,17.777542914046723,3675,125829.69458901882,34.23937267728403,2563771915.786215,0.000049079909883649486,0.00002548294948035057,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.10_1,Nahrin,,,Wuleswali,District,,AF.BL.NA,AFG,Asia,2404,70807.71675813198,29.454125107376033,2404,70807.71675813198,29.454125107376033,2404,136378.49014425278,56.7298211914529,1668389314.8462045,0.00008174260583587136,0.000042440763752229605,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.11_1,Puli Khumri,,,Wuleswali,District,,AF.BL.PK,AFG,Asia,1011,138676.64965111017,137.16780380920886,1011,145752.30443626642,144.1664732307284,1011,280694.21563643217,277.6401737254522,706494112.6676763,0.00039730580991899405,0.0001962884717148966,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.3_1,Baghlan,,AFG.3.12_1,Tala Wa Barfak,,,Wuleswali,District,,AF.BL.TB,AFG,Asia,4124,25986.821660339832,6.301363157211404,4125,26001.164197266102,6.30331253267057,4125,49992.42092555761,12.119374769832149,2897390310.6082387,0.000017254292851922628,0.00000896904416543193,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.4_1,Balkh,,AFG.4.1_1,Balkh,,,Wuleswali,District,,AF.BK.BA,AFG,Asia,725,79800.76149272919,110.07001585204026,725,83244.48042583466,114.81997300115125,725,151574.06759357452,209.06767943941313,499435144.23713464,0.00030349099245928577,0.00015978203058701718,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.4_1,Balkh,,AFG.4.2_1,Char Bolak,,,Wuleswali,District,,AF.BK.CB,AFG,Asia,717,57715.21455383301,80.49541778777268,717,57715.21455383301,80.49541778777268,717,105089.61001586914,146.56849374598207,491748838.4219863,0.00021370586324738442,0.00011736726158630117,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.4_1,Balkh,,AFG.4.3_1,Charkint,,,Wuleswali,District,,AF.BK.CK,AFG,Asia,1960,39115.77424740791,19.957027677248934,1961,39149.334290742874,19.963964452189124,1961,71284.28947377205,36.350989022831236,1360061962.4982948,0.0000524125307811933,0.000028760288373594564,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.4_1,Balkh,,AFG.4.4_1,Chimtal,,,Wuleswali,District,,AF.BK.CM,AFG,Asia,1955,45441.59350371361,23.243781843331767,1955,45944.80651640892,23.50117980378973,1955,83657.69334173203,42.7916589983284,1350382356.6204076,0.00006195111549820715,0.00003365090878219111,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.4_1,Balkh,,AFG.4.5_1,Dawlat abad,,,Wuleswali,District,,AF.BK.DA,AFG,Asia,2211,46486.531871557236,21.025116178904224,2211,46486.531871557236,21.025116178904224,2211,84644.08091557026,38.28316640233842,1518419133.5217803,0.00005574487244457271,0.00003061508568041923,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.4_1,Balkh,,AFG.4.6_1,Dihdadi,,,Wuleswali,District,,AF.BK.DI,AFG,Asia,454,49204.57594347,108.38012322350221,454,56571.03672838211,124.60580777176676,454,103006.2524471283,226.88601860600946,313284524.2031733,0.00032879457646087246,0.0001570603465607498,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.4_1,Balkh,,AFG.4.7_1,Kaldar,,,Wuleswali,District,,AF.BK.KA,AFG,Asia,1255,24303.563665106893,19.365389374587167,1255,44795.17700739205,35.69336813338012,1255,81479.80992406607,64.92415133391718,865247920.8669175,0.00009416932183139953,0.000028088554828027132,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.4_1,Balkh,,AFG.4.8_1,Khulm,,,Wuleswali,District,,AF.BK.KH,AFG,Asia,5191,54076.3759810999,10.417333072837584,5191,55281.07214809209,10.649407079193237,5191,100643.74843773991,19.388123374636855,3580636828.2101912,0.000028107778941671517,0.000015102446457305304,true
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.4_1,Balkh,,AFG.4.9_1,Kishindih,,,Wuleswali,District,,AF.BK.KI,AFG,Asia,3166,68791.12338376045,21.72808698160469,3166,68791.12338376045,21.72808698160469,3166,125256.9538654089,39.563156622049554,2204956207.5289364,0.00005680700298614212,0.00003119840799960998,false
Afghanistan,Islamic State of Afghanistan,Afghanistan,Southern Asia,AFG,Afghanistan,AFG.4_1,Balkh,,AFG.4.10_1,Marmul,,,Wuleswali,District,,AF.BK.MM,AFG,Asia,605,5969.184077858925,9.866419963403182,605,5969.184077858925,9.866419963403182,605,10868.870549440384,17.965075288331214,414060475.7128395,0.000026249476071650454,0.000014416213157226559,false
